Mélység [m↓₊],Azimuth [°↻⁺],Sebesség [m/s]
0.25,175.8935595,0.857578979
0.25,177.0810058,1.713453896
0.25,173.4990213,1.654006345
0.25,174.1913101,1.037753668
0.25,177.8795812,1.31688006
0.25,177.6255326,1.510115278
0.25,176.4548052,1.378999526
0.25,177.8143848,1.432481098
0.25,173.8793921,1.803142914
0.25,175.4439806,1.534423461
0.25,176.0185545,1.726708166
0.25,176.8959611,1.296658473
0.25,173.5454023,1.411378421
0.25,179.1348345,1.477079193
0.25,176.8478711,1.232385802
0.25,181.5547167,1.195548107
0.25,176.6622364,1.560708171
0.25,175.7076169,1.171471065
0.25,172.9568009,1.343625203
0.25,176.0985303,1.56844919
0.25,175.6724966,1.239405499
0.25,177.5009917,1.135614572
0.25,177.0668992,1.419597586
0.25,178.1303207,1.503737698
0.25,173.1417103,1.592227325
0.25,174.6669558,1.382326415
0.25,177.5124047,1.290818246
0.25,175.5959949,1.231045473
0.25,175.9000156,2.077142912
0.25,174.542947,1.296702464
0.25,176.9118795,1.477678808
0.25,177.1643897,1.605377977
0.25,174.5633762,1.32535501
0.25,180.3058248,1.754286151
0.25,181.4164303,1.44911323
0.25,176.8697722,1.260632192
0.25,176.828287,1.316993601
0.25,179.0446496,1.711935553
0.25,175.0372391,1.39851225
0.25,177.3358607,0.921639572
0.25,177.465819,1.187135121
0.25,175.9337918,1.337011077
0.25,174.7485244,1.458593309
0.25,172.35207,1.217315076
0.25,180.5748776,1.2745553
0.25,172.5192145,0.953876398
0.25,179.5496419,1.376379158
0.25,174.5836273,1.517140652
0.25,175.1158601,1.12478331
0.25,172.4514733,0.922579778
0.25,174.6058777,1.052475076
0.25,175.8915668,1.379712217
0.25,173.9090456,1.778419731
0.25,169.4688116,1.363466919
0.25,175.3033698,1.23766845
0.25,177.6077311,1.356722603
0.25,177.7076125,1.644516084
0.25,176.116772,1.903324003
0.25,179.1551035,1.181687624
0.25,182.7096754,1.591262736
0.25,174.9782354,1.42826679
0.25,175.0860995,1.392667049
0.25,179.6660321,1.512377101
0.25,174.5273264,1.333242106
0.25,173.2445854,1.056696936
0.25,175.4693321,1.121284492
0.25,172.0414292,1.576891946
0.25,175.0772546,1.521720684
0.25,175.4155528,1.49543835
0.25,170.1703895,1.236501854
0.25,182.2229074,1.545722572
0.25,178.2804317,1.347825172
0.25,177.9125801,1.187166645
0.25,175.7333591,1.393300098
0.25,181.6995053,1.309708111
0.25,175.3339337,1.616299115
0.25,174.8582686,1.408402239
0.25,173.6217045,1.297192209
0.25,174.7808409,1.323338075
0.25,178.890047,1.771853227
0.25,174.7461768,1.666569631
0.25,173.8102455,1.511672371
0.25,177.8018742,1.228432698
0.25,177.4835672,1.62249278
0.25,177.6315118,1.142899277
0.25,173.0130973,1.13209637
0.25,176.7689668,1.701691888
0.25,175.8926779,1.354054498
0.25,176.126011,1.221649699
0.25,178.7176123,1.692563559
0.25,173.4648879,1.607625753
0.25,175.7103304,1.474250488
0.25,173.8966735,1.494250749
0.25,177.8085114,1.35162455
0.25,176.4003793,1.445116121
0.25,172.7341077,2.039895677
0.25,178.3530166,1.827628058
0.25,173.3830265,1.524790243
0.25,178.5646397,1.387859778
0.25,182.0985707,1.48166043
0.25,172.3920115,1.559655266
0.25,176.0001998,1.492547497
0.25,173.5424883,1.112182221
0.25,178.3349832,1.592737647
0.25,173.9599837,1.153197316
0.25,170.6047774,1.366431903
0.25,177.986111,1.537733138
0.25,177.234027,1.624150814
0.25,172.690524,0.992661823
0.25,178.8130428,1.150464096
0.25,180.5128687,1.019492619
0.25,177.3182887,1.104585739
0.25,176.9060692,1.892298188
0.25,172.6754589,1.260940316
0.25,174.6380869,1.364332664
0.25,166.8746067,1.319366948
0.25,178.5469017,1.523743454
0.25,174.9163367,0.987206227
0.25,181.1623035,1.509786332
0.25,174.3144606,0.705917218
0.25,177.7603333,1.70425279
0.25,178.1146562,1.254221531
0.25,171.107918,1.583271923
0.25,173.0099068,1.458061534
0.25,173.5843674,1.469687343
0.25,173.5939704,1.281420385
0.25,179.0450492,1.685580614
0.25,172.8685114,1.475319675
0.25,173.321483,1.582223246
0.25,179.4867789,1.036398986
0.25,180.7188508,0.97767095
0.25,178.4570334,1.691421821
0.25,178.5930421,1.672765009
0.25,174.6533395,1.622920053
0.25,171.3352465,1.453981762
0.25,174.8956566,1.410380619
0.25,176.0474405,2.045224086
0.25,175.9067273,1.746595835
0.25,174.7198281,1.470709952
0.25,176.1293256,1.775271757
0.25,175.0909367,1.071379959
0.25,174.1402944,1.276237426
0.25,174.6495895,1.405692648
0.25,172.2910058,1.184650548
0.25,174.2881565,1.397604396
0.25,171.5304507,1.090208889
0.25,174.3494788,1.534590805
0.25,175.0725354,1.634891615
0.25,172.9313545,1.6056147
0.25,175.8041908,1.654385722
0.25,177.5743399,1.25347023
0.25,180.1808662,1.361707477
0.25,178.4303991,1.314073646
0.25,177.7153992,1.764928616
0.25,178.9657646,1.566560875
0.25,179.1830563,1.712401804
0.25,175.286649,1.387062542
0.25,174.1870356,1.346836974
0.25,172.6879175,0.819110112
0.25,177.1923093,1.556953963
0.25,173.0893851,1.432161572
0.25,175.0970741,1.846611542
0.25,177.1509854,1.464595552
0.25,175.1451979,1.223476429
0.25,174.6444118,1.402951333
0.25,177.6853659,1.206654378
0.25,176.4999926,1.786747812
0.25,176.0936631,1.463444118
0.25,176.6953821,1.53384781
0.25,171.5356082,1.762589925
0.25,174.9001632,1.603532449
0.25,172.9604925,1.226324015
0.25,175.7121649,1.492107395
0.25,178.9303159,1.365300315
0.25,172.1558589,1.62603022
0.25,176.1562471,1.649331199
0.25,174.2700126,1.263607129
0.25,175.2287084,1.433389051
0.25,180.419492,1.474410486
0.25,174.9451719,1.729022574
0.25,179.0075429,1.049989925
0.25,175.9796886,1.483468242
0.25,177.3665477,1.838815597
0.25,172.1046503,1.394390183
0.25,176.0028224,1.512098231
0.25,171.0954419,1.785886425
0.25,172.2639957,0.6820936
0.25,172.184056,1.41180874
0.25,178.2437693,1.298684649
0.25,177.7643877,1.79698324
0.25,176.3311564,1.551574249
0.25,175.2527002,1.22567507
0.25,182.7048948,1.283762014
0.25,176.2709632,1.160370016
0.25,176.5670394,1.392313611
0.25,176.1488571,1.368381813
0.25,172.1927759,1.577577681
0.25,172.5339625,1.495761979
0.25,174.528769,1.502829449
0.25,178.2030325,1.340864868
0.25,175.4542118,1.814284386
0.25,178.9106552,1.598438065
0.25,174.1902047,1.127845353
0.25,177.5732397,1.42254671
0.25,174.5398314,1.285295194
0.25,178.231802,1.230555587
0.25,176.1192727,1.501366593
0.25,176.0634076,1.059131413
0.25,174.2218825,1.59172328
0.25,175.6513456,1.634138846
0.25,175.501001,1.22262044
0.25,178.0890939,1.737968763
0.25,174.1788399,1.842939846
0.25,178.1967201,1.391002255
0.25,177.0563212,1.793184838
0.25,173.014146,0.814576897
0.25,177.1846765,1.100934109
0.25,177.5991454,1.771401876
0.25,178.2443694,1.378500251
0.25,174.1830994,1.838842482
0.25,179.1967855,1.058747224
0.25,171.2914067,1.445084847
0.25,174.5931246,2.002235971
0.25,174.138913,1.108625015
0.25,172.7011069,1.442989067
0.25,171.4361,1.135445283
0.25,176.4653026,1.396983152
0.25,175.4302209,1.470636008
0.25,184.8461252,1.525218449
0.25,178.8502489,1.204629305
0.25,178.6789229,1.214125797
0.25,170.5116929,1.453098843
0.25,173.8040733,1.894245958
0.25,176.9520104,1.436169218
0.25,178.9356762,1.933659927
0.25,174.6504475,1.73028418
0.25,176.8675375,1.463644211
0.25,175.822927,1.192604663
0.25,172.6863333,1.347808155
0.25,178.1271499,1.257134735
0.25,177.9060774,1.465518463
0.25,176.3645889,1.565763852
0.25,178.7964291,1.151607007
0.25,174.8601497,1.450862738
0.25,173.1034819,1.362634914
0.25,175.2188104,1.173680296
0.25,179.2250592,1.668396729
0.25,181.4810872,1.585335728
0.25,173.4513144,1.439397571
0.25,175.4548416,1.345507692
0.25,173.2643752,0.643192554
0.25,177.0820956,1.359375972
0.25,178.3884511,1.685334888
0.25,174.9666131,1.201738362
0.25,174.1260164,1.278227792
0.25,177.4644876,1.93968568
0.25,169.2389592,1.368113786
0.25,173.594233,1.713166992
0.25,179.7189266,1.460780653
0.25,174.733637,1.059631503
0.25,176.8441565,1.67163837
0.25,176.5357353,1.625323121
0.25,177.0646967,1.668135833
0.25,173.013984,1.329597528
0.25,177.5299346,1.109973565
0.25,172.4642357,1.549724256
0.25,178.1484697,1.361808823
0.25,180.3615188,1.424344372
0.25,178.1214412,1.201885745
0.25,174.8663448,1.16977022
0.25,173.951034,1.510874318
0.25,174.1265687,1.559896712
0.25,179.5832117,1.446557762
0.25,174.1153365,1.806838768
0.25,177.5388221,1.462770314
0.25,173.349668,1.814074335
0.25,183.0713901,1.3508879
0.25,176.8461109,1.221112655
0.25,174.4515504,1.656339895
0.25,177.6091607,1.369705721
0.25,173.6981356,1.776308438
0.25,177.0674497,1.745966657
0.25,179.8587862,1.264283447
0.25,179.1849935,1.345059333
0.25,174.9638438,1.415314272
0.25,173.9038174,1.415038256
0.25,174.5079654,1.204066877
0.25,178.832106,1.718151358
0.25,177.8511698,1.925975008
0.25,172.7754658,1.298635227
0.25,172.6142886,1.216309108
0.25,175.2683759,1.163288719
0.25,173.6515494,1.337326748
0.25,172.1372801,1.295273931
0.25,172.7539569,1.551604766
0.25,169.8363209,1.180638219
0.25,177.6984708,1.18575843
0.25,183.2887074,1.57798997
0.25,177.6677645,1.240717239
0.5,175.5828839,0.982709661
0.5,179.70872,1.115714804
0.5,177.0707026,0.849132486
0.5,176.097834,1.146382794
0.5,176.7903693,1.752260061
0.5,178.1342467,1.250948377
0.5,175.5237844,1.17387979
0.5,175.3162148,0.977462127
0.5,176.1375612,1.005672832
0.5,178.8491826,1.305877379
0.5,179.5934087,1.515868005
0.5,176.6879685,1.256764324
0.5,181.370935,1.485919693
0.5,175.9616172,1.066654612
0.5,173.4097036,0.993680215
0.5,174.3363392,1.490918913
0.5,179.3261988,0.804709272
0.5,176.5411812,1.112609011
0.5,172.4563796,1.665100441
0.5,181.2780147,1.490330444
0.5,172.8009258,1.45387777
0.5,177.833085,0.581071223
0.5,175.3153077,1.822952982
0.5,181.4227087,1.108970142
0.5,177.5594963,1.391506351
0.5,177.606171,1.491598299
0.5,173.127314,1.21746214
0.5,174.7347082,0.600679177
0.5,177.7727116,1.149923926
0.5,177.6220972,1.214070533
0.5,173.665113,0.94283113
0.5,173.7601237,1.490802032
0.5,176.4899447,1.691728087
0.5,174.8204955,1.120482464
0.5,177.8446312,1.509901257
0.5,179.6776557,1.661004571
0.5,176.2952199,2.040502674
0.5,176.184587,1.393537865
0.5,177.0016871,1.220704358
0.5,180.6719036,1.510358119
0.5,174.9810636,0.840120023
0.5,172.8690947,1.121642372
0.5,175.6943545,1.107758596
0.5,177.9455661,1.460875422
0.5,181.6464617,1.320474857
0.5,177.1131694,1.025309494
0.5,183.0576931,1.178135723
0.5,180.978814,1.850974968
0.5,176.1908338,1.224286788
0.5,173.9590636,1.287095087
0.5,178.6225284,1.232815395
0.5,174.2218556,0.981934955
0.5,177.1854737,1.318752885
0.5,175.7269256,1.132093355
0.5,178.3480633,1.142624621
0.5,174.1548708,1.219672358
0.5,174.0291488,1.301525115
0.5,173.4253646,0.808824775
0.5,173.6443827,1.344046521
0.5,174.0373934,1.179349319
0.5,174.9728364,1.881878748
0.5,181.0864918,1.466220288
0.5,178.7684701,1.639697269
0.5,172.2840102,1.391797368
0.5,177.1913238,1.461254471
0.5,178.9832975,1.812259261
0.5,178.1105941,1.386971388
0.5,178.1235146,1.133079808
0.5,177.3222105,1.535188723
0.5,177.841117,1.23537488
0.5,172.9945087,0.679482837
0.5,173.2739974,1.299779141
0.5,180.2275704,1.021644986
0.5,173.9318855,1.261532053
0.5,174.6565253,1.187690097
0.5,177.5428227,0.750615837
0.5,177.5296087,1.131401975
0.5,178.0440993,1.27637244
0.5,174.4187886,1.077635792
0.5,176.9290987,0.957283343
0.5,172.825267,1.469025926
0.5,176.4353859,1.306331012
0.5,177.499384,1.332145838
0.5,181.4611644,1.404855825
0.5,174.0406644,1.164181302
0.5,173.8974565,1.359545599
0.5,176.2185902,1.216377662
0.5,177.9692367,0.963269329
0.5,175.9795894,1.937540082
0.5,176.8731833,1.234132815
0.5,174.5905505,1.114896366
0.5,176.5612978,1.260044673
0.5,173.9570489,1.048881668
0.5,171.8802842,0.986725175
0.5,179.2504355,1.197845721
0.5,175.0424822,1.641174973
0.5,175.2092497,1.31368608
0.5,173.0442919,1.284909743
0.5,174.3069636,1.707794267
0.5,174.235053,0.937265916
0.5,180.6149045,1.459103873
0.5,171.5565063,0.910283742
0.5,173.364829,1.559546553
0.5,176.5190207,1.106923662
0.5,176.3186139,0.835128636
0.5,169.981544,1.326052399
0.5,170.4462122,0.585446207
0.5,173.389652,1.511885862
0.5,171.5246235,0.983219808
0.5,174.3375402,1.418443931
0.5,177.3254689,1.472630922
0.5,175.0153927,1.75938196
0.5,172.2747781,1.216628054
0.5,175.5211718,0.92909372
0.5,177.2907732,1.704198562
0.5,175.2869772,1.339318033
0.5,178.1799901,1.135094284
0.5,179.2936378,0.854710944
0.5,181.5906662,1.23585771
0.5,175.937644,1.450790694
0.5,177.0714259,1.851597908
0.5,172.27589,0.801907763
0.5,177.1910225,1.292860746
0.5,174.300187,1.33888582
0.5,177.2210105,1.352041021
0.5,180.5020045,1.248927549
0.5,178.4825043,0.977585305
0.5,174.4113333,1.359603157
0.5,173.2322164,0.961606888
0.5,175.9207302,1.766617554
0.5,176.3244335,0.760028981
0.5,176.1727499,1.360165428
0.5,174.4887878,0.869037545
0.5,175.9026431,1.061445617
0.5,179.3020278,0.992682906
0.5,176.7093809,1.439328282
0.5,180.0433554,1.387563547
0.5,176.5111779,0.886370367
0.5,183.2424328,1.288070146
0.5,180.4302737,1.602295778
0.5,179.4803024,1.468391445
0.5,181.4168594,1.501947101
0.5,178.1625008,1.411986838
0.5,180.2372061,1.498470227
0.5,177.6325677,1.504684095
0.5,178.5846699,1.457665655
0.5,175.1854169,1.55486373
0.5,178.8097713,0.986698332
0.5,175.1426893,1.341827193
0.5,173.8260053,1.260373336
0.5,176.8695197,1.475954789
0.5,175.9516786,1.227275404
0.5,178.266418,0.747959985
0.5,179.0095354,1.285800571
0.5,181.1446412,1.60126249
0.5,176.0708787,1.390929336
0.5,178.284937,1.284635386
0.5,174.1901323,1.376037433
0.5,174.8609665,1.30992896
0.5,174.9130389,1.0884247
0.5,177.3177238,1.205859005
0.5,175.6007789,1.572692184
0.5,179.3032376,1.402480228
0.5,171.8973315,1.017014878
0.5,174.1964088,1.177587788
0.5,175.1595286,1.29407377
0.5,180.7661223,0.756456424
0.5,177.7069123,1.343902559
0.5,173.1005763,1.070630748
0.5,175.8803935,1.576100872
0.5,176.3615624,0.866628172
0.5,176.2586213,0.892445101
0.5,182.8099898,1.130213201
0.5,179.2564471,1.201027349
0.5,176.3353808,1.391460199
0.5,173.1060805,0.879179578
0.5,179.881037,0.959368133
0.5,178.9338251,1.106974004
0.5,178.5972257,1.531098584
0.5,181.1070338,1.264299088
0.5,173.6506272,1.628452896
0.5,176.44735,1.292518911
0.5,183.2315119,1.326418394
0.5,180.7769648,0.920201247
0.5,172.440599,0.929881602
0.5,173.1989843,0.782803171
0.5,175.6270514,1.405729325
0.5,175.8530146,1.742279947
0.5,175.9756968,1.216284039
0.5,178.1952007,1.439014474
0.5,174.813596,1.658171931
0.5,176.1636064,0.815903418
0.5,178.0023376,1.37689009
0.5,173.9388407,1.199313454
0.5,179.6255731,0.828980119
0.5,174.0200232,1.270363238
0.5,176.390613,1.105993103
0.5,175.166065,1.410809713
0.5,174.6398505,1.640381467
0.5,176.3765065,1.052516359
0.5,175.4015079,1.945400865
0.5,177.6469636,0.95519405
0.5,177.48314,1.565327186
0.5,172.6411008,1.710210243
0.5,174.9355578,1.371715256
0.5,177.8620497,1.522384949
0.5,178.5687066,1.514915303
0.5,180.3526624,1.234749587
0.5,177.7166039,1.411898864
0.5,178.6931814,1.151597662
0.5,179.9637392,1.184514762
0.5,174.761925,1.007138078
0.5,173.4577714,1.146751165
0.5,180.6412219,1.124994093
0.5,176.9761332,0.320453272
0.5,174.8439887,1.380649384
0.5,175.8654897,1.394603323
0.5,172.7400186,1.279721376
0.5,173.4075032,1.291011361
0.5,178.4560314,1.675343165
0.5,176.0234466,0.878148132
0.5,175.5040653,0.987912936
0.5,175.3078851,1.394699927
0.5,170.2927043,1.881267523
0.5,174.1543629,1.443517851
0.5,175.789645,1.505239163
0.5,175.9051423,1.188762926
0.5,178.7191101,1.009534727
0.5,177.4864825,1.49166332
0.5,177.8630431,0.853914491
0.5,179.0179286,1.021041003
0.5,176.5476778,0.946814203
0.5,176.5243814,1.138559903
0.5,175.9828561,1.554993501
0.5,175.906649,1.222724614
0.5,176.5603216,1.909897892
0.5,173.6135573,1.029818798
0.5,175.0852048,1.350022785
0.5,177.4842359,2.041378473
0.5,169.9412423,0.99453948
0.5,177.094954,1.629365938
0.5,179.507354,1.371431709
0.5,175.3491816,0.895957002
0.5,174.1649159,1.180659706
0.5,178.9504872,1.039313592
0.5,180.2713002,1.635520106
0.5,172.8014634,1.379337787
0.5,175.8015176,1.363705226
0.5,177.709918,0.914874457
0.5,173.7553494,1.119526712
0.5,175.4789729,1.280446006
0.5,173.9394924,1.067622215
0.5,175.8014632,1.495618011
0.5,179.7319728,0.804587269
0.5,175.4295888,0.598212517
0.5,174.4263704,1.43533465
0.5,176.7560622,0.836033558
0.5,176.5962252,1.216083751
0.5,177.2164808,1.010392253
0.5,173.7720832,1.299413012
0.5,178.9450586,1.36884823
0.5,177.6183051,1.433235773
0.5,174.3469543,1.466517447
0.5,176.4173121,1.398968521
0.5,174.4951681,1.354522094
0.5,180.2623407,1.654795638
0.5,177.3001178,1.123012249
0.5,175.6872114,1.105503492
0.5,176.7531052,1.452148121
0.5,170.7661258,1.445135914
0.5,170.1478347,1.247598841
0.5,176.9912307,1.166643783
0.5,177.4367156,1.54009824
0.5,175.2837535,0.791192845
0.5,174.9716073,1.054407193
0.5,177.3296879,1.927776183
0.5,171.8575707,1.130051414
0.5,178.4869761,0.575811597
0.5,177.8763046,0.83396023
0.5,169.9163802,1.385920793
0.5,173.564149,1.235082551
0.5,175.866909,0.833448209
0.5,175.8667547,0.986387216
0.5,178.0242581,0.92620021
0.5,179.087276,1.143732968
0.5,177.8506433,1.529924175
0.5,174.3158071,1.645646481
0.5,175.5792545,1.373484514
0.5,179.7788612,0.811549909
0.5,175.5748885,1.315657907
0.5,177.1188503,1.091052603
0.5,180.17267,1.69855567
0.5,169.3997644,0.880295539
0.5,176.0637731,1.096607282
0.5,171.7088613,0.808498302
0.5,178.8673409,1.28061812
0.5,174.6465748,1.658523069
0.5,176.9829765,1.363528356
0.5,178.6496789,1.223795137
0.5,177.9531824,0.990652466
0.5,175.0176425,1.310841106
0.5,176.1809135,1.155227301
0.5,180.014442,1.422648686
0.5,178.9080974,1.281725812
0.5,174.3674843,1.493944525
0.5,184.5105982,1.313219494
0.5,178.4423057,1.397488444
0.5,168.5569688,1.519669033
0.5,174.7310819,1.112833731
0.5,172.3637099,1.072193248
0.5,177.3645647,1.360500827
0.5,177.3803095,1.285064552
0.5,178.8931645,0.94404321
0.5,174.0710653,1.462904262
0.5,177.2979336,0.959109814
0.5,178.2284705,1.290772478
0.5,174.6055509,1.477123726
0.5,173.2878606,1.0654834
0.5,180.3519109,1.318123186
0.5,176.6150918,0.858513032
0.5,176.1512589,1.481979066
0.5,172.9555845,1.047511959
0.5,175.3148331,0.988278288
0.5,177.4505086,1.530244466
0.5,177.5346295,1.291120045
0.5,172.5963292,1.482762882
0.5,177.0075082,1.535584878
0.5,180.6978638,1.183424979
0.5,172.715812,1.191739543
0.5,178.4151416,1.735755224
0.5,177.4356923,0.988043455
0.5,174.9561739,0.886510114
0.5,173.5682921,1.584962718
0.5,180.1903277,1.238569357
0.5,179.2556586,1.528665852
0.5,176.4275035,1.376867184
0.5,176.2777924,1.373786268
0.5,171.6061312,1.358116522
0.5,174.5536339,1.358332189
0.5,172.2405964,1.234315816
0.5,173.188554,1.347191717
0.5,178.4303743,1.564126334
0.5,179.8736341,1.568259553
0.5,173.7485234,0.905999953
0.5,178.3851888,1.215633258
0.5,181.7220244,0.973600741
0.5,178.4117257,1.221721865
0.5,178.7370481,1.090776513
0.5,178.1758957,1.245898927
0.5,176.7535596,1.108235216
0.5,182.1923988,1.442563658
0.5,179.3361552,1.396441755
0.5,174.5893412,1.562263328
0.5,174.5709951,1.37445005
0.5,179.1715586,1.502192125
0.5,174.1277883,1.144261064
0.5,179.8231211,1.591352336
0.5,166.9128867,1.083518727
0.5,173.2363201,1.759831387
0.5,177.1997666,1.287268682
0.5,177.5918404,1.089031006
0.5,178.3866135,1.907983033
0.5,170.6409748,1.255484013
0.5,180.2851341,1.305179349
0.5,176.9020124,1.264281891
0.5,173.969832,1.685710652
0.5,177.4300042,1.208390973
0.5,179.1176222,0.987455641
0.5,176.0096636,1.536154387
0.5,178.2568832,0.983869672
0.5,174.1246969,1.061197081
0.5,177.6897308,1.019180405
0.5,178.3584041,0.912196981
0.5,177.1001384,1.055460517
