-39.6689,-18.3256
-39.6847,-18.3656
-39.7132,-18.4607
-39.7282,-18.5301
-39.7447,-18.6736
-39.7481,-18.7053
-39.7469,-18.7933
-39.7403,-18.9239
-39.7308,-19.0244
-39.7233,-19.0792
-39.7167,-19.1069
-39.7035,-19.2013
-39.6942,-19.2989
-39.6945,-19.3194
-39.6992,-19.3931
-39.7040,-19.4236
-39.7142,-19.4492
-39.7875,-19.6036
-39.8099,-19.6420
-39.8736,-19.6733
-39.8968,-19.6824
-39.9350,-19.6981
-39.9858,-19.7264
-40.0067,-19.7414
-40.0211,-19.7628
-40.1281,-19.9647
-40.1453,-20.0256
-40.1675,-20.1183
-40.1908,-20.1946
-40.2406,-20.2838
-40.2932,-20.2425
-40.3497,-20.2347
-40.3647,-20.2844
-40.3683,-20.3119
-40.3318,-20.3250
-40.2822,-20.3436
-40.3356,-20.4686
-40.3450,-20.4878
-40.4061,-20.5994
-40.4175,-20.6167
-40.6272,-20.8312
-40.6427,-20.8144
-40.7408,-20.8417
-40.7619,-20.8547
-40.8131,-20.9282
-40.8215,-20.9697
-40.8171,-21.0119
-40.8322,-21.0575
-40.8438,-21.0871
-40.8650,-21.1182
-40.8900,-21.1433
-40.9333,-21.1925
-40.9456,-21.2089
-40.9606,-21.2358
-40.9665,-21.2583
-40.9643,-21.2766
-40.9611,-21.2836
-40.9692,-21.3526
-41.0147,-21.4275
-41.0292,-21.4489
-41.0433,-21.5767
-41.0181,-21.6756
-40.9668,-21.9579
-40.9701,-21.9825
-40.9872,-22.0086
-41.0019,-22.0231
-41.0203,-22.0339
-41.1993,-22.1278
-41.2339,-22.1406
-41.2786,-22.1542
-41.3014,-22.1606
-41.3431,-22.1700
-41.4003,-22.1861
-41.5211,-22.2242
-41.5431,-22.2311
-41.5817,-22.2436
-41.6078,-22.2539
-41.6711,-22.2850
-41.6989,-22.3011
-41.7631,-22.3461
-41.8497,-22.4378
-41.9660,-22.5345
-41.9874,-22.5657
-41.9956,-22.6242
-41.9947,-22.6642
-41.9901,-22.7057
-41.9751,-22.7351
-41.9875,-22.8311
-42.0344,-22.9192
-42.1508,-22.9497
-42.4295,-22.9411
-42.5486,-22.9394
-42.5703,-22.9394
-42.6264,-22.9442
-42.6599,-22.9507
-42.6801,-22.9600
-42.9411,-22.9808
-43.0942,-22.9533
-43.1254,-22.9310
-43.1294,-22.8906
-43.0917,-22.8281
-43.0636,-22.8028
-43.0265,-22.7432
-43.0206,-22.7164
-43.0261,-22.6793
-43.0758,-22.6683
-43.2543,-22.7366
-43.2713,-22.7776
-43.2622,-22.8067
-43.2517,-22.8249
-43.2295,-22.8356
-43.1633,-22.8944
-43.1474,-22.9518
