Timestamp;Lat;Lon;SpeedOverGound;Heading
1577833201;36.80096;-75.22302;12.8000002;283
1577833262;36.80162;-75.22726;12.6999998;283
1577833332;36.8024;-75.23229;12.6999998;283
1577833402;36.80321;-75.23738;12.6999998;283
1577833480;36.80411;-75.24297;12.6999998;283
1577833682;36.80652;-75.25744;12.6000004;283
1577833832;36.80823;-75.26816;12.6000004;283
1577833751;36.80731;-75.2623;12.5;283
1577834091;36.81145;-75.28662;12.6000004;284
1577833982;36.81004;-75.27887;12.6000004;284
1577834232;36.81325;-75.29655;12.6000004;284
1577834302;36.81416;-75.30158;12.6000004;284
1577833901;36.80904;-75.2731;12.6000004;283
1577834162;36.81238;-75.29166;12.6999998;284
1577834421;36.81571;-75.31;12.5;284
1577834601;36.81802;-75.32275;12.5;284
1577834792;36.82055;-75.33623;12.5;284
1577835021;36.8235;-75.35251;12.6999998;284
1577834721;36.8196;-75.33122;12.5;284
1577833551;36.80494;-75.24806;12.6999998;283
1577835540;36.83029;-75.38938;12.6000004;282
1577835442;36.82896;-75.38243;12.6000004;284
1577835092;36.8244;-75.35757;12.6999998;284
1577835170;36.82542;-75.3632;12.6999998;284
1577833620;36.80578;-75.25301;12.6000004;283
1577835300;36.82711;-75.37236;12.6000004;284
1577835691;36.83186;-75.40017;12.6000004;280
1577836240;36.83691;-75.4394;12.3999996;280
1577835801;36.83288;-75.40804;12.6000004;280
1577836321;36.83765;-75.44505;12.3999996;280
1577836458;36.83894;-75.45471;12.1999998;266
1577836162;36.83616;-75.43382;12.3999996;280
1577835922;36.83399;-75.41673;12.6000004;280
1577836802;36.83604;-75.47867;12.5;262
1577836042;36.83503;-75.4253;12.5;280
1577837012;36.83407;-75.49358;12.3000002;261
1577836682;36.83713;-75.47016;12.3999996;261
1577836752;36.83647;-75.47515;12.3999996;262
1577837222;36.83245;-75.50831;12.3000002;265
1577836872;36.8354;-75.48364;12.5;261
1577836392;36.83831;-75.45007;12.3999996;280
1577836530;36.83857;-75.45967;12.1000004;262
1577836940;36.83475;-75.4885;12.5;261
1577837082;36.83342;-75.49849;12.1999998;262
1577837150;36.83288;-75.50332;12.3000002;264
1577837731;36.82972;-75.54396;12.1999998;265
1577837371;36.83163;-75.51876;12.1999998;265
1577837440;36.83125;-75.52358;12.1999998;265
1577837792;36.82939;-75.54823;12.1999998;265
1577837981;36.82838;-75.56149;12.1999998;265
1577837662;36.83006;-75.53915;12.1999998;265
1577837872;36.82897;-75.55383;12.1999998;265
1577838082;36.82792;-75.56862;12.3000002;266
1577838341;36.82691;-75.58677;12;266
1577837520;36.8308;-75.52918;12.1999998;265
1577838272;36.82718;-75.58201;12.1999998;266
1577837592;36.83043;-75.53417;12.1999998;265
1577838552;36.82605;-75.60094;11.3999996;266
1577838432;36.82652;-75.59302;11.6999998;266
1577838632;36.82577;-75.60614;11.3000002;266
1577838701;36.8255;-75.61061;11.3000002;266
1577838161;36.8276;-75.5742;12.3000002;266
1577838832;36.82503;-75.61889;10.3000002;266
1577838972;36.82458;-75.62722;10.6000004;266
1577839451;36.82294;-75.65438;9.6000004;266
1577839080;36.82421;-75.63352;9.6999998;266
1577839521;36.82273;-75.65839;10.1999998;266
1577839681;36.8222;-75.66758;9.3000002;265
1577839981;36.82095;-75.68495;10.6999998;264
1577838900;36.82481;-75.62288;10.3000002;266
1577839232;36.82367;-75.642;10.1000004;266
1577840812;36.81847;-75.73232;10.5;275
1577839342;36.8233;-75.64839;9.8000002;266
1577840542;36.81818;-75.71676;9.1000004;272
1577841192;36.82451;-75.75141;10.1999998;303
1577841032;36.82058;-75.74391;9.1000004;303
1577840682;36.81831;-75.72455;10.1999998;271
