Ev,Ho,Nap,Ora,Perc,Ws,Wd
2022,12,1,2,45,3.3,69
2022,12,1,2,46,2.9,69
2022,12,1,2,47,2.7,64
2022,12,1,2,48,2.4,63
2022,12,1,2,49,3.7,61
2022,12,1,2,50,2.4,81
2022,12,1,2,51,2.3,66
2022,12,1,2,52,2.2,62
2022,12,1,2,53,2.6,66
2022,12,1,2,54,3.6,64
2022,12,1,2,55,3.4,72
2022,12,1,2,56,3.2,65
2022,12,1,2,57,2.1,76
2022,12,1,2,58,2.6,76
2022,12,1,2,59,1.9,74
2022,12,1,3,0,2,55
2022,12,1,3,1,2,71
2022,12,1,3,2,2.2,59
2022,12,1,3,3,3.1,66
2022,12,1,3,4,2.3,68
2022,12,1,3,5,3.3,77
2022,12,1,3,6,2.3,76
2022,12,1,3,7,2.5,69
2022,12,1,3,8,2.5,75
2022,12,1,3,9,2.7,65
2022,12,1,3,10,2.8,77
2022,12,1,3,11,3.1,73
2022,12,1,3,12,2.3,65
2022,12,1,3,13,2,81
2022,12,1,3,14,1.7,74
2022,12,1,3,15,2.6,68
2022,12,1,3,16,2.8,57
2022,12,1,3,17,2.5,68
2022,12,1,3,18,1.2,58
2022,12,1,3,19,1.6,77
2022,12,1,3,20,2.8,77
2022,12,1,3,21,3.1,67
2022,12,1,3,22,2.5,64
2022,12,1,3,23,3,70
2022,12,1,3,24,3.3,50
2022,12,1,3,25,2.3,68
2022,12,1,3,26,2.3,72
2022,12,1,3,27,2.2,56
2022,12,1,3,28,1.9,64
2022,12,1,3,29,2.2,69
2022,12,1,3,30,2.5,79
2022,12,1,3,31,3,70
2022,12,1,3,32,2.2,54
2022,12,1,3,33,2.1,56
2022,12,1,3,34,2.2,50
2022,12,1,3,35,2.4,81
2022,12,1,3,36,2.2,68
2022,12,1,3,37,2.5,79
2022,12,1,3,38,2.3,65
2022,12,1,3,39,2.1,66
2022,12,1,3,40,1.8,66
2022,12,1,3,41,2.6,60
2022,12,1,3,42,2.1,63
2022,12,1,3,43,2.1,60
2022,12,1,3,44,2.4,69
2022,12,1,3,45,2.4,57
2022,12,1,3,46,1.6,74
2022,12,1,3,47,2.5,67
2022,12,1,3,48,2,57
2022,12,1,3,49,1,74
2022,12,1,3,50,2.5,66
2022,12,1,3,51,3,61
2022,12,1,3,52,3,62
2022,12,1,3,53,2.6,54
2022,12,1,3,54,2.8,63
2022,12,1,3,55,3.6,58
2022,12,1,3,56,2.8,59
2022,12,1,3,57,3,50
2022,12,1,3,58,3.9,58
2022,12,1,3,59,3.9,70
2022,12,1,4,0,2.7,62
2022,12,1,4,1,1.5,85
2022,12,1,4,2,2.6,57
2022,12,1,4,3,3.5,64
2022,12,1,4,4,1.8,80
2022,12,1,4,5,2.8,59
2022,12,1,4,6,2.6,64
2022,12,1,4,7,1.5,69
2022,12,1,4,8,1.8,62
2022,12,1,4,9,2.6,85
2022,12,1,4,10,2.1,68
2022,12,1,4,11,2.8,61
2022,12,1,4,12,2.3,59
2022,12,1,4,13,3.8,66
2022,12,1,4,14,2.9,68
2022,12,1,4,15,3.5,52
2022,12,1,4,16,2.5,61
2022,12,1,4,17,1.6,77
2022,12,1,4,18,2.5,74
2022,12,1,4,19,3.2,82
2022,12,1,4,20,2.3,68
2022,12,1,4,21,2.7,64
2022,12,1,4,22,3.3,78
2022,12,1,4,23,4.2,56
2022,12,1,4,24,4.1,71
2022,12,1,4,25,2.7,
2022,12,1,4,26,2.7,
2022,12,1,4,27,2.1,71
2022,12,1,4,28,2.9,70
2022,12,1,4,29,2.8,90
2022,12,1,4,30,2.6,50
2022,12,1,4,31,3.1,46
2022,12,1,4,32,4.3,55
2022,12,1,4,33,3.5,81
2022,12,1,4,34,2.2,76
2022,12,1,4,35,3.2,56
2022,12,1,4,36,4,54
2022,12,1,4,37,2.4,58
2022,12,1,4,38,3,72
2022,12,1,4,39,2.5,75
2022,12,1,4,40,3.1,83
2022,12,1,4,41,3,55
2022,12,1,4,42,2.4,64
2022,12,1,4,43,3.2,57
2022,12,1,4,44,2.9,60
2022,12,1,4,45,3.5,67
2022,12,1,4,46,2.9,75
2022,12,1,4,47,4.6,72
2022,12,1,4,48,2.5,70
2022,12,1,4,49,4,65
2022,12,1,4,50,2.3,66
2022,12,1,4,51,1.5,65
2022,12,1,4,52,2.3,54
2022,12,1,4,53,3.3,85
2022,12,1,4,54,2.3,69
2022,12,1,4,55,1.8,76
2022,12,1,4,56,1.3,71
2022,12,1,4,57,3.2,65
2022,12,1,4,58,2.4,58
2022,12,1,4,59,3,59
2022,12,1,5,0,2.7,63
2022,12,1,5,1,3,66
2022,12,1,5,2,2.9,81
2022,12,1,5,3,2.7,74
2022,12,1,5,4,2.5,66
2022,12,1,5,5,3.2,85
2022,12,1,5,6,3,85
2022,12,1,5,7,2.2,70
2022,12,1,5,8,3.6,63
2022,12,1,5,9,3.5,58
2022,12,1,5,10,2.8,80
2022,12,1,5,11,2.5,61
2022,12,1,5,12,4,73
2022,12,1,5,13,2.4,80
2022,12,1,5,14,2.9,76
2022,12,1,5,15,2.3,71
2022,12,1,5,16,2,60
2022,12,1,5,17,3,86
2022,12,1,5,18,1.9,54
2022,12,1,5,19,2.3,61
2022,12,1,5,20,3,75
2022,12,1,5,21,1.9,69
2022,12,1,5,22,1.9,70
2022,12,1,5,23,1.5,52
2022,12,1,5,24,2.2,68
2022,12,1,5,25,2.8,54
2022,12,1,5,26,2.5,51
2022,12,1,5,27,2.4,56
2022,12,1,5,28,3.2,74
2022,12,1,5,29,3.5,72
2022,12,1,5,30,1.8,79
2022,12,1,5,31,2.8,49
2022,12,1,5,32,3.4,59
2022,12,1,5,33,2.1,67
2022,12,1,5,34,2.4,86
2022,12,1,5,35,1.9,72
2022,12,1,5,36,1.6,79
2022,12,1,5,37,2.2,67
2022,12,1,5,38,3,65
2022,12,1,5,39,3.5,68
2022,12,1,5,40,2.8,48
2022,12,1,5,41,2.6,63
2022,12,1,5,42,3.8,80
2022,12,1,5,43,2.6,89
2022,12,1,5,44,2,75
2022,12,1,5,45,2.7,91
2022,12,1,5,46,2.5,64
2022,12,1,5,47,2.4,79
2022,12,1,5,48,1.9,78
2022,12,1,5,49,1.3,64
2022,12,1,5,50,2.3,72
2022,12,1,5,51,2.1,83
2022,12,1,5,52,3.3,61
2022,12,1,5,53,1.8,64
2022,12,1,5,54,2.8,75
2022,12,1,5,55,2.9,62
2022,12,1,5,56,2.7,72
2022,12,1,5,57,2.2,86
2022,12,1,5,58,2.5,69
2022,12,1,5,59,2.6,67
2022,12,1,6,0,2.8,77
2022,12,1,6,1,3.1,76
2022,12,1,6,2,3,61
2022,12,1,6,3,2.8,63
2022,12,1,6,4,2.2,63
2022,12,1,6,5,2.5,72
2022,12,1,6,6,2.2,56
2022,12,1,6,7,2.5,73
2022,12,1,6,8,3.2,66
2022,12,1,6,9,1.5,53
2022,12,1,6,10,2.7,61
2022,12,1,6,11,2.3,75
2022,12,1,6,12,2.4,58
2022,12,1,6,13,2.9,75
2022,12,1,6,14,2.6,69
2022,12,1,6,15,2.2,65
2022,12,1,6,16,2.6,71
2022,12,1,6,17,4.2,55
2022,12,1,6,18,1.7,60
2022,12,1,6,19,1.1,72
2022,12,1,6,20,2.2,54
2022,12,1,6,21,3.6,69
2022,12,1,6,22,1.4,70
2022,12,1,6,23,1.9,82
2022,12,1,6,24,1.8,
2022,12,1,6,25,3.7,77
2022,12,1,6,26,2,66
2022,12,1,6,27,2.1,55
2022,12,1,6,28,2.6,61
2022,12,1,6,29,2.5,69
2022,12,1,6,30,2.4,82
2022,12,1,6,31,1.5,62
2022,12,1,6,32,2,59
2022,12,1,6,33,1.8,53
2022,12,1,6,34,1.6,78
2022,12,1,6,35,1.6,66
2022,12,1,6,36,1.5,55
2022,12,1,6,37,1.6,57
